id,long_name,is_in_sydney
2509_399,Little Bay to UNSW (Loop Service),True
2510_446,Roselands to St George Hospital,True
2510_450,Hurstville to Strathfield,True
2510_452,Rockdale to Beverly Hills,True
2510_453,Rockdale Station to Percival Street Rockdale,True
2510_455,St George Hospital to Kingsgrove,True
2510_920,Bankstown to Parramatta,True
2510_922,Bankstown to East Hills via Milperra,True
2510_923,Bankstown to Panania via Picnic Point,True
2510_924,Bankstown to East Hills via Panania,True
2510_926,Bankstown to Revesby Heights,True
2510_927,Padstow to One Tree Point,True
2510_939,Greenacre to Bankstown,True
2510_940,Hurstville to Bankstown via Riverwood,True
2510_941,Hurstville to Bankstown via Greenacre,True
2510_942,Campsie to Lugarno,True
2510_943,Hurstville to Lugarno,True
